scorer,assists_received,unique_assisters,threes_assisted,twos_assisted,points_from_assists,avg_points_per_assist
Jakia Brown-Turner,95,7,4,91,826,8.69
Brinae Alexander,91,8,22,69,688,7.56
Allie Kubek,82,8,4,78,740,9.02
Bri McDaniel,61,8,3,58,472,7.74
Shyanne Sellers,56,9,5,51,536,9.57
Lavender Briggs,51,9,5,46,388,7.61
Faith Masonius,49,8,2,47,240,4.9
Riley Nelson,23,8,3,20,112,4.87
Emily Fisher,15,8,1,14,41,2.73
Hawa Doumbouya,5,4,0,5,22,4.4
Emma Chardon,3,3,0,3,20,6.67
Summer Bostock,3,3,0,3,8,2.67
