"source_id","player_number","player_name","games_with_subs","total_subs_in","total_subs_out","avg_subs_in_per_game","avg_subs_out_per_game"
"2023-24","14","Allie Kubek",33,130,135,3.94,4.09
"2023-24","13","Faith Masonius",33,132,132,4.0,4.0
"2023-24","24","Bri McDaniel",33,120,125,3.64,3.79
"2023-24","05","Brinae Alexander",33,112,130,3.39,3.94
"2023-24","11","Jakia Brown-Turner",30,97,116,3.23,3.87
"2023-24","34","Emily Fisher",33,109,97,3.3,2.94
"2023-24","00","Shyanne Sellers",31,80,95,2.58,3.06
"2023-24","03","Lavender Briggs",21,57,54,2.71,2.57
"2023-24","02","Riley Nelson",16,58,47,3.62,2.94
"2023-24","20","Hawa Doumbouya",13,22,13,1.69,1.0
"2023-24","21","Emma Chardon",8,17,13,2.12,1.62
"2023-24","33","Summer Bostock",10,14,5,1.4,0.5
"2023-24","30","Mary Sareen",7,8,1,1.14,0.14
"2023-24","15","Zen Nuako",7,7,0,1.0,0.0
